shot,26.0,M,Black,Baltimore,MD,True,other,Not fleeing,False,Danger Level 3,2015,1,January
shot,40.0,M,White,Fort Worth,TX,False,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot,26.0,M,Hispanic,Pueblo,CO,False,attack,Car,False,Danger Level 4,2015,1,January
shot,17.0,F,Hispanic,Denver,CO,False,other,Not fleeing,False,Danger Level 1,2015,1,January
shot,68.0,M,White,New Hope,MN,True,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot,24.0,M,Hispanic,Tahoka,TX,False,other,Car,False,Danger Level 1,2015,1,January
shot,34.0,M,Hispanic,Wasco,CA,True,other,Not fleeing,False,Danger Level 3,2015,1,January
shot,39.0,F,White,Omaha,NE,True,attack,Not fleeing,False,Danger Level 3,2015,1,January
shot,26.0,M,Native,Phoenix,AZ,False,other,Not fleeing,False,Danger Level 1,2015,1,January
shot,29.0,M,White,Morenci,AZ,False,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot,33.0,M,Black,Columbus,OH,False,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot,45.0,M,White,Sunset,TX,False,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot,26.0,M,White,Rosenberg,TX,False,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot and Tasered,35.0,M,Asian,Stockton,CA,True,attack,Not fleeing,False,Danger Level 3,2015,1,January
shot,31.0,M,White,Wyoming,MI,True,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot,42.0,M,White,Stillwater,OK,False,other,Foot,False,Danger Level 1,2015,1,January
shot,48.0,M,White,Billings,MT,False,attack,Foot,False,Danger Level 4,2015,1,January
shot,31.0,M,Hispanic,Houston,TX,False,attack,Not fleeing,False,Danger Level 4,2015,1,January
shot and Tasered,54.0,M,Black,Randallstown,MD,True,other,Not fleeing,False,Danger Level 3,2015,1,January
shot,59.0,M,White,Hummelstown,PA,False,other,Foot,False,Danger Level 1,2015,1,February
shot,42.0,M,White,Apple Valley,CA,True,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,17.0,M,White,Bay City,MI,False,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,23.0,M,Black,St. Louis,MO,False,attack,Foot,False,Danger Level 4,2015,1,February
shot,38.0,F,Black,Emeryville,CA,False,attack,Car,False,Danger Level 4,2015,1,February
shot,29.0,M,Black,Antioch,CA,True,other,Not fleeing,False,Danger Level 3,2015,1,February
shot,45.0,M,White,Douglas,GA,True,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,28.0,M,Black,Tallahassee,FL,False,attack,Not fleeing,False,Danger Level 1,2015,1,February
shot,37.0,M,Hispanic,Orlando,FL,False,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,28.0,M,Hispanic,Tempe,AZ,False,attack,Car,False,Danger Level 4,2015,1,February
shot,28.0,M,Hispanic,Tempe,AZ,False,other,Not fleeing,False,Danger Level 1,2015,1,February
shot,51.0,M,Black,Lorena,TX,False,attack,Car,False,Danger Level 4,2015,1,February
shot,36.0,M,Black,Memphis,TN,False,other,Not fleeing,False,Danger Level 3,2015,1,February
shot,59.0,M,White,Chino,CA,False,other,Car,False,Danger Level 4,2015,1,February
shot,25.0,M,Black,Oklahoma City,OK,False,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,26.0,M,White,Calimesa,CA,False,attack,Not fleeing,False,Danger Level 1,2015,1,February
shot,74.0,M,Black,Gastonia,NC,False,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,33.0,M,White,Anchorage,AK,False,attack,Car,False,Danger Level 4,2015,1,February
shot,27.0,M,White,Austin,TX,False,attack,Not fleeing,False,Danger Level 4,2015,1,February
shot,57.0,M,White,New City,NY,True,attack,Not fleeing,False,Danger Level 4,2015,1,February
